Index,comments,cleanliness,location,luxury,family_friendly,cleanliness_benjamin,cleanliness_mirnesa,location_benjamin,location_mirnesa,luxury_benjamin,luxury_mirnesa,family_friendly_benjamin,family_friendly_mirnesa
6252,I stayed at Joanna and MP's apartment in May with 6 of my childhood friends. It was the perfect place for our reunion. Joanna is an absolutely fantastic host. She was very prompt when answering my questions. The directions she gave to her apartment from the station were to the T. We all came separately and no one had a problem finding the place due to the precise directions. The apartment itself is beautifully kept and she had clear instructions which is always a great. I would definitely recommend the Multatulli apartment to anyone traveling to Amsterdam in a big group. ,0,1,0,0,0,,1,,0,,1,
4684,"Edwin’s place is absolutely perfect. Situated in a great area, making it easy to walk anywhere in the city or hop on the trams located just 1 minute from the Airbnb. Everything was very clean, my room was nicely decorated and the bed was comfortable. <br/><br/>Edwin is a perfect host. So kind and helpful. Really a nice guy- although he is upstaged by Pookie (his cat), who is the true star of the listing. <br/><br/>Thanks so much for everything!",1,1,0,0,1,,1,,0,,0,
1731,Great location. Close to the red lighting district and good bars. Beautiful boat too. ,0,1,0,0,0,,1,,0,,0,
4742,"Si estas acostumbrado a la vida nocturna es un buen lugar, esta muy céntrico el lugar lo que hace que escuches gente toda la tarde y noche",0,0,0,0,0,,0,,0,,0,
4521,Value for money!! Its near the central station so go ahead and book until it gets all booked !,0,1,0,0,0,,1,,0,,0,
6340,We had a wonderful stay - the location and apartment were so cool.  So many great restaurants within walking distance and a bike rental just down the street.  Very easy communication and check where we received great recommendations (loved the recommended cafe for apple pie).   Kitchen had everything we needed to cook when we wanted to eat in.  The apartment was very roomy and comfortable for everyone in the family.  Thank you for a great stay! ,0,1,1,1,0,,1,,1,,1,
576,"这一次的Airbnb体验，我真的没法挑剔，于是给了Daniel全部五星。本来他是金牌房东，网上无一评价都超赞，我自己以前住过金牌房东的经历也很不错，于是我对他期待已经很高了，但最后Daniel和他的房间还是超出了我的预计！首先，房间非常干净。主客都是脱鞋进屋，而地板确实一尘不染，让人也不忍破坏这种洁净。其次，物品整齐有序，一应俱全，质量很好，比如床垫和枕头，比自家的还舒服；他连小音响都准备了，可以连接手机播放音乐。再有房间设计和装饰风格我很喜欢，整体面积虽不大，但经他的设计，显得宽敞舒适，别具心裁，装饰和椅子都是他从其他国家运回来的，家里到处是植物，生机勃勃。最后是他特别仔细贴心，他自制了地图和骑行指南，给我们解释时非常耐心，还准备了下午茶招待我们，是个很能聊的人，我最后很遗憾没能跟他交谈更多。他推荐的景点和餐厅也很棒。他房内还有很多惊喜，不剧透了，等你们去体验。I would say Daniel and his house is awesome and beyond my expectation (even though I actually had quite high an anticipation), considering its flawless cleanness, elaborate decoration (combine with European and African), well-equipped room and his comprehensive guide, friendly and supportive manner. Everything seems perfect and staying in his house really made our journey more memorable. Those detailed surprises shall be revealed by the next lucky ones. Overall, 100% recommended.",0,0,1,0,1,,0,,1,,0,
5202,Absolutely perfect. The space was clean and accessible. The breakfast was lovely and Sonja was kind and welcoming,1,0,1,0,1,,1,,0,,0,
6363,"Leuke Airbnb op een top locatie, vriendelijk ontvangst en goede communicatie!",0,0,0,0,0,,0,,0,,0,
439,"Derk is a great host, he got us into the Opera at a great price, and gave us just great tips about the neighborhood. He is a very good host.",0,1,0,0,0,,0,,0,,0,
2750,"This space could not be more ideally located! Edwin was a great host, very responsive and welcoming, even helping with our luggage up the steep Dutch stairs. While the location is central and ideal we are glad we brought some ear plugs to drown out the noise from the street. Our private room was very comfortable and we did not run into too many issues with a shared bathroom.",0,1,1,0,0,,1,,0,,0,
7487,"The suite is comfortable and the communication was quick. Hosts went out of their way to ensure I was able to do an early check in. Adjacent to several canals, Ann Frank house, De Wallen and many museums in close proximity. Easy access to unit via app or code. Would recommend for a true experience in the heart of beautiful Amsterdam!",0,1,0,0,0,,1,,1,,0,
5272,"Amazing apartment! Amazing location, only a 5 minute walk from the station. Very clean and bright. 3 minute walk to a good cheap supermarket. Will definitely come back again.",1,1,0,0,1,,1,,0,,0,
